Longitude;Latitude;Baum_ID;Strasse;Deutsch;Stammumfang;Grund_der_Faellung;Rechtswert;Hochwert
6.767142934;51.24296566;131646;Rheinpark;Weide;235;Pilzbefall;32344149.52;5679212.81
6.75278475;51.23612973;132267;Hartwichstraße 9;Robinie;165;Pilzbefall;32343124.19;5678483.29
6.722627053;51.23373137;132721;Im Kämpchen;Ahorn;180;Sturmschaden;32341010.88;5678281.46
6.760251056;51.22657167;133720;Kaiser-Wilhelm-Ring/GA 5;Bergahorn;110;abgestorben;32343612.94;5677404.61
6.755200135;51.22612554;133784;Rheinallee 3 166;Bergahorn;112;abgestorben;32343258.79;5677365.77
6.747158939;51.22755286;133899;Rheinallee 131;Pappel;260;Sturmschaden;32342702.25;5677541.66
6.746992161;51.22755387;133900;Rheinallee 130;Pappel;280;Pilzbefall (Lackporling);32342690.61;5677542.13
6.74759582;51.22740019;133909;Rheinallee 134;Spitzahorn;80/100;Stammschäden;32342732.23;5677523.75
6.739587382;51.23046707;133929;Pariser Straße;Bergahorn;190;Sturmschaden;32342183.62;5677881.93
6.79775294;51.2691158;201184;Kürtenstraße 52;rote Rosskastanie;25;abgestorben;32346373.04;5682055.96
6.786295429;51.2507001;201356;Merziger Straße 6;Hainbuche;100;Stammschäden;32345512.12;5680032.34
6.866548822;51.2168529;206034;Glashüttenstraße 43-57;Platane;430;Pilzbefall;32351002.88;5676103.05
6.718183306;51.23038601;206341;Benediktusstraße 30;Mehlbeere;30;abgestorben;32340689.13;5677919.12
6.773823221;51.22513751;274170;Mittelstraße 1a;Amberbaum;30;abgestorben;32344555.66;5677216.34
6.773988274;51.22480995;274174;Mittelstraße 5;Amberbaum;24;abgestorben;32344566.08;5677179.57
6.794875867;51.24219449;274516;Marc-Chagall-Straße 168-188;Gleditschie;25;abgestorben;32346082.46;5679068.58
6.787754658;51.23925272;275182;Annastraße 36;Kirsche;250;Pilzbefall;32345575.60;5678756.43
6.738946845;51.26361447;276244;Beckbuschstraße;Spitzahorn;260;Rußrindenkrankheit/abgestorben;32342252.39;5681568.96
6.790618653;51.28703978;276690;Mündelheimer Weg 5;Amberbaum;30;abgestorben;32345935.40;5684063.90
6.80774029;51.24281173;276986;Zoopark;Esche;190;Sturmschaden;32346982.35;5679110.33
6.806922868;51.24390774;277188;Zoopark;Silberahorn;370;Pilzbefall (Lackporling);32346928.94;5679233.90
6.785417349;51.22981749;279507;Jägerhofpassage;Stieleiche;360;abgestorben;32345380.83;5677712.24
6.784171541;51.23006533;279645;Jägerhofpassage;Baumhasel;121;abgestorben;32345294.69;5677742.42
6.781842778;51.22970579;279716;Hofgarten Jägerhofpassage;Roteiche;495;Pilzbefall (Lackporling);32345130.91;5677707.35
6.779190616;51.22873633;280038;Opern-Passage;Bergahorn;219;abgestorben;32344942.50;5677605.15
6.77976219;51.23104126;280297;Hofgarten;Schwarz-Pappel;341;Pilzbefall (Zunderschwamm);32344990.15;5677860.23
6.77929686;51.23141736;280307;Hofgarten;Schwarz-Pappel;403;Pilzbefall (Zunderschwamm);32344958.93;5677903.03
6.773009435;51.23382783;280939;Hofgarten;Rosskastanie;299;Pilzbefall (flacher Lackporling);32344528.14;5678184.34
6.749105673;51.25919229;281098;Stockumer Kirchstraße;Bergahorn;300;Rußrindnkrankheit/abgestorben;32342945.99;5681055.48
6.806616361;51.24119197;281263;Zoopark;Schwarz-Pappel;90;Stammschäden;32346898.53;5678932.57
6.805802179;51.24082326;281302;Zoopark;Esche;320;Pilzbefall (zottiger Schillerporling);32346840.48;5678893.27
6.806270254;51.24151599;281405;Zoopark;Sumpf-Eiche;450;Pilzbefall (Riesenporling);32346875.45;5678969.32
6.805483278;51.24176457;281448;Zoopark;Robinie;220;Pilzbefall (Riesenporling);32346821.35;5678998.60
6.803592719;51.24229029;281476;Zoopark;Buche;200;Stammschäden;32346691.15;5679061.00
6.80311626;51.24268209;281526;Zoopark;Gleditschie;230;Pilzbefall (Lackporling);32346659.20;5679105.56
6.782876317;51.21458843;282643;Corneliusstraße 48;Gingko;216;Pilzbefall (Schwefelporling);32345152.33;5676024.27
6.77478952;51.2184409;282773;Kaiserteich/Schwanenspiegel;Bergahorn;266;90% trocken;32344600.57;5676469.70
6.775229385;51.21810976;282839;Kaiserteich/Schwanenspiegel;Ahorn;520;Pilzbefall (Lackporling);32344630.17;5676431.95
6.773298096;51.20918389;289513;Floragarten;Bergahorn;198;abgestorben;32344465.23;5675443.57
6.772183498;51.20903441;289539;Floragarten;Bergahorn;200;abgestorben;32344386.88;5675429.31
6.90824471;51.13889297;290490;Schlosspark Garath;Hainbuche;210;absterbend;32353667.91;5667350.85
