Datum;Tmin;Tmit;Tmax;Sges;Rges;Tbod;RFmin;RFmit;RFmax;Wmit;WBmax
01.01.2019;3,7;6,8;8,1;0,0;1,7;3,0;76;91,60;100;13;44
02.01.2019;-0,7;4,1;7,0;1,9;0,0;-2,7;67;76,80;94;12;39
03.01.2019;1,9;3,7;5,0;0,0;0,2;1,1;85;90,80;95;10;30
04.01.2019;2,0;3,2;4,5;0,0;4,2;0,9;93;97,50;100;9;35
05.01.2019;3,7;5,7;6,6;0,0;1,6;3,7;97;99,50;100;16;43
06.01.2019;4,4;5,4;6,6;0,0;1,3;4,0;90;96,80;100;11;31
07.01.2019;0,5;4,8;7,9;0,0;7,6;-1,1;95;99,10;100;8;35
08.01.2019;4,2;6,4;8,2;0,7;5,1;3,2;76;86,40;100;21;61
09.01.2019;1,3;3,9;6,0;3,1;0,2;0,1;62;80,20;92;16;50
10.01.2019;0,2;1,5;2,8;0,0;1,0;-0,5;83;88,20;95;7;20
11.01.2019;0,9;4,1;7,0;0,0;2,0;0,8;95;99,60;100;9;33
12.01.2019;5,2;6,2;7,4;0,0;2,9;4,5;87;96,40;100;11;41
13.01.2019;6,0;7,8;9,1;0,0;18,3;5,4;86;96,20;100;15;56
14.01.2019;1,9;4,8;7,2;2,3;4,1;1,0;79;89,20;98;13;67
15.01.2019;0,6;4,9;7,2;0,1;0,0;-1,0;80;90,20;99;9;33
16.01.2019;4,8;5,8;6,6;0,0;0,2;3,8;77;82,60;97;12;39
17.01.2019;0,5;3,8;6,0;0,1;5,8;-0,2;88;94,00;100;12;43
18.01.2019;-2,4;0,0;3,2;5,5;0,0;-4,4;88;95,00;100;6;22
19.01.2019;-3,5;-0,2;3,9;7,9;0,0;-5,5;59;78,40;94;8;28
20.01.2019;-6,1;-2,1;3,4;7,9;0,0;-7,6;56;76,80;95;4;19
21.01.2019;-6,9;-3,7;1,2;7,9;0,0;-9,2;67;89,00;98;5;17
22.01.2019;-4,8;-2,6;-0,3;4,8;1,6;-6,6;70;84,90;97;14;44
23.01.2019;-2,4;-1,2;0,9;2,7;0,0;-2,9;71;80,80;95;9;31
24.01.2019;-3,4;-2,8;-2,3;0,0;0,0;-4,1;76;80,80;92;5;17
25.01.2019;-2,7;-0,1;3,4;0,0;4,0;-2,7;79;90,80;100;7;24
26.01.2019;3,4;5,7;7,8;0,0;3,9;2,9;89;96,30;100;11;35
27.01.2019;2,9;5,3;7,0;0,0;7,0;2,4;89;94,00;98;13;44
28.01.2019;1,4;2,9;4,4;0,0;2,5;0,8;76;92,20;100;17;54
29.01.2019;0,6;2,0;5,4;2,7;0,0;-0,1;57;82,50;99;9;33
30.01.2019;-0,5;0,4;1,4;0,0;5,0;-3,1;74;91,20;100;6;30
31.01.2019;-4,0;-1,2;0,6;0,0;0,4;-8,0;90;97,70;100;5;28
01.02.2019;-0,1;2,4;6,3;4,7;4,7;-2,0;81;90,70;100;9;35
02.02.2019;0,7;1,6;2,8;0,0;1,8;0,1;99;99,90;100;6;28
03.02.2019;-1,9;2,0;6,1;4,2;0,0;-3,8;70;89,80;100;9;33
04.02.2019;-2,0;1,9;5,6;4,1;1,8;-4,5;60;80,40;100;11;44
05.02.2019;1,4;3,0;5,1;0,0;0,0;-1,2;92;96,90;100;6;22
06.02.2019;1,6;5,0;9,5;0,9;2,1;-0,4;55;76,10;97;10;30
07.02.2019;3,5;6,9;10,8;3,3;0,6;2,8;63;78,90;93;15;48
08.02.2019;5,3;7,5;9,3;0,0;3,8;3,9;76;82,10;91;16;43
09.02.2019;6,5;8,5;11,2;4,9;8,6;5,8;60;76,80;95;17;67
10.02.2019;3,0;7,1;9,9;0,2;18,4;2,2;79;90,70;99;17;50
11.02.2019;2,3;4,5;6,6;1,9;2,4;0,1;74;88,80;97;13;41
12.02.2019;0,0;3,0;7,2;1,7;0,0;-1,7;78;91,70;100;6;19
13.02.2019;-0,3;3,5;8,6;6,7;0,0;-2,5;71;87,50;100;6;19
14.02.2019;-1,3;5,4;13,9;9,3;0,0;-3,6;41;69,50;99;6;20
15.02.2019;0,6;8,7;17,3;9,4;0,0;-2,2;38;55,60;79;8;31
16.02.2019;2,1;7,7;15,7;9,1;0,0;-0,8;46;69,30;97;6;24
17.02.2019;0,8;7,9;16,8;9,3;0,0;-1,8;40;70,30;99;8;30
18.02.2019;1,2;8,3;16,6;9,3;0,0;-1,9;40;65,50;88;8;33
19.02.2019;2,6;7,5;11,7;5,2;0,0;-0,3;60;78,30;95;7;37
20.02.2019;-;-;-;-;-;-0,4;66;86,40;97;5;-
21.02.2019;1,5;7,6;12,6;3,4;0,7;-0,7;69;88,20;100;6;30
22.02.2019;5,4;9,5;13,1;2,4;0,0;3,1;68;90,70;100;7;22
23.02.2019;4,2;7,1;12,3;9,7;0,0;1,6;38;67,40;99;9;31
24.02.2019;0,9;7,4;16,0;9,7;0,0;-1,9;19;44,10;64;7;30
25.02.2019;0,6;8,4;18,5;9,7;0,0;-1,5;30;58,30;85;5;19
26.02.2019;0,9;8,8;20,2;9,8;0,0;-1,4;38;70,50;97;4;11
27.02.2019;1,0;9,0;20,1;10,0;0,0;-1,2;30;67,40;97;4;19
28.02.2019;0,5;7,6;14,3;5,8;1,6;-1,6;66;86,40;100;7;41
01.03.2019;5,4;7,2;9,1;0,0;0,5;4,8;80;93,30;100;10;35
02.03.2019;5,0;7,8;11,4;0,9;0,9;4,6;73;92,20;100;8;33
03.03.2019;8,9;10,9;12,6;0,0;0,7;7,6;75;82,10;92;15;52
04.03.2019;5,7;9,6;14,0;3,2;4,7;4,4;56;70,30;93;20;83
05.03.2019;4,0;6,6;10,3;3,7;0,8;3,1;61;79,50;95;13;48
06.03.2019;6,1;9,6;12,8;1,4;3,0;5,4;61;79,20;92;16;52
07.03.2019;7,4;9,4;12,0;4,0;1,7;6,1;67;79,00;96;18;59
08.03.2019;5,7;7,9;11,0;3,1;1,0;4,9;58;76,60;95;13;54
09.03.2019;7,4;9,2;13,2;1,7;5,2;6,0;66;80,60;97;16;69
10.03.2019;2,1;7,4;13,3;2,6;7,1;0,8;61;84,60;100;17;83
11.03.2019;1,4;5,0;8,0;2,7;0,8;-0,1;62;77,00;96;18;63
