reason,year,reason
Absterbend,2020,576
Abgestorben,2020,552
Rußrindenkrankheit,2020,112
Pilzbefall,2020,64
Fäule,2020,24
Stammschaden,2020,14
Sturmschaden,2020,5
Pseudomonas,2020,3
Bauwerksschädigung,2020,2
Schrägstand,2020,2
