reason,year,reason
Abgestorben,2018,262
Pilzbefall,2018,86
Morschung,2018,36
Stammschaden,2018,31
Sturmschaden,2018,13
Sachbeschädigung,2018,7
Unfallschaden,2018,7
Gefahr für den Öltank des Kapellengebäudes,2018,4
Lackporling,2018,2
zu dichter Stand,2018,2
