longiude;latitude;baum_ID;strasse;deutsch;stammumfang;grund_der_faellung;rechtswert;hochwert
6.7190546845586505;51.24680497706359;365889;Büdericher Straße;Süßkirsche;70;absterbend;32340806.6618018;5679742.8447698
6.719023458475805;51.246788902357046;365890;Büdericher Straße;Süßkirsche;80;abgestorben;32340804.427178;5679741.12511983
6.719000665302324;51.24675285035846;365891;Büdericher Straße;Süßkirsche;90;absterbend;32340802.7120424;5679737.16592571
6.718946750905659;51.24674874202213;365892;Büdericher Straße;Süßkirsche;100;abgestorben;32340798.9354457;5679736.8259949
6.718908470311794;51.24672479677722;365893;Büdericher Straße;Süßkirsche;110;abgestorben;32340796.1813337;5679734.24651995
6.718942360063791;51.246787321268584;365894;Büdericher Straße;Süßkirsche;120;absterbend;32340798.762283;5679741.12511983
6.7189592125835205;51.24679538279893;365895;Büdericher Straße;Süßkirsche;130;abgestorben;32340799.9661763;5679741.98494482
6.71899947628973;51.246827009740606;365896;Büdericher Straße;Süßkirsche;140;abgestorben;32340802.8852051;5679745.41424679
6.719033256966345;51.24684160564611;365897;Büdericher Straße;Süßkirsche;150;absterbend;32340805.2929917;5679746.96393136
6.716079083648132;51.245895492501475;365898;Büdericher Straße;Stieleiche;170;absterbend;32340595.8650383;5679648.17403975
6.715606516805452;51.246256460308366;341503;Büdericher Straße;Winterlinde;185;großflächiger Stammschaden & Schrägstand;32340564.1350294;5679689.33566142
6.714856716982313;51.24677988935308;365899;Büdericher Straße;Feldahorn;110;abgestorben;32340513.6209872;5679749.16348364
6.714294598265949;51.247078228151786;365901;Büdericher Straße;Süßkirsche;100;abgestorben;32340475.4262365;5679783.55648305
6.714596860245534;51.24693756589581;365900;Büdericher Straße;Süßkirsche;120;abgestorben;32340496.0326014;5679767.25980019
6.750341047118518;51.24225456538885;365902;Kaiser-Friedrich-Ring;Süßkirsche;89;abgestorben;32342974.4777756;5679169.53146607
6.739894310158162;51.24610996630011;365903;Lotharstraße;Silberweide;90;Pilzbefall;32342258.5735738;5679620.59965244
6.739979019653195;51.24608849368984;365904;Lotharstraße;Silberweide;90;abgestorben;32342264.4116315;5679618.03017545
6.740039029921164;51.24606951122749;365905;Lotharstraße;Silberweide;90;Stammschäden;32342268.5345537;5679615.7906313
6.726538168785723;51.25095378528987;38356;Josef-Willecke-Straße;Walnuss;165;Pilzbefall;32341343.177661;5680187.95416907
6.729004593277298;51.245693907781636;132228;Grevenbroicher Weg Radweg Grevenbroicher Weg;Silberweide;245;abgestorben;32341497.1935407;5679597.78429644
6.729066903738056;51.24576021796316;132229;Grevenbroicher Weg Radweg Grevenbroicher Weg;Silberweide;245;absterbend;32341501.7699843;5679605.02282306
6.742730718390894;51.24039675409369;365906;Neersener Straße;Süßkirsche;90;abgestorben;32342436.9889068;5678979.26019523
6.73714977922195;51.23903044997383;365910;Pastor-Busch-Weg;Spitzahorn;90;Rußrindenkrankheit;32342042.7880744;5678839.32867789
6.7372524824000255;51.239145193692885;365909;Pastor-Busch-Weg;Spitzahorn;150;Sturmschaden;32342050.3495136;5678851.86612593
6.75395385451899;51.239132792546386;42927;Alt-Niederkassel;Walnuss;165;Pilzbefall: Austernseitling;32343216.0068008;5678814.70369023
6.730034860908374;51.24270604928845;365912;Wickrather Straße;Silberahorn;210;Pilzbefall;32341558.822981;5679263.34237113
6.72980429670871;51.242839060532;365913;Wickrather Straße;Feldahorn;125;absterbend;32341543.1888602;5679278.62925953
6.729322583009473;51.24287530090898;357960;Wickrather Straße;Holzpappel;240;Stammfäule;32341509.6942407;5679283.69822775
6.753538733924489;51.23635624982089;365914;Hartwichstraße;Sandbirke;123;abgestorben;32343177.5894123;5678506.86634963
6.752801968633052;51.23611074138184;132267;Hartwichstraße;Robinie;165;Pilzbefall;32343125.3272511;5678481.14158583
6.755780858309947;51.23676506723042;365915;Niederkasseler Straße;Walnuss;140;großflächiger Stammschaden & Stammfäule;32343335.4808388;5678547.53807102
6.755377525225489;51.23691108917062;365916;Niederkasseler Straße;Spitzahorn;245;Rußrindenkrankheit;32343307.8242771;5678564.63459108
6.73075275559081;51.2479110385871;365917;Grevenbroicher Weg Fuß- und Radweg;Spitzahorn;180;großflächiger Stammschaden & Stammfäule;32341626.8099672;5679840.53488526
6.693247740381241;51.22675769196639;22217;Eupener Straße;Holländische Linde;130;großflächiger Stammschaden & Stammfäule;32338935.7209603;5677570.06703243
6.7144954692426655;51.23233742107891;365918;Heerdter Landstraße;Feldahorn;90;abgestorben;32340438.435379;5678144.10018964
6.714432150336076;51.23215877481181;365919;Heerdter Landstraße;Eberesche;300;abgestorben;32340433.3971681;5678124.3742048
6.7204181082674;51.23632963076284;132878;Albertussee;Robinie;180;abgestorben;32340865.6525719;5678575.14245223
6.721588167268628;51.236383445620405;365920;Am Heerdter Hof Albertussee;Sandbirke;120;abgestorben;32340947.5090683;5678578.59175014
6.723930764589607;51.236163425995116;358141;Albertussee;Bergahorn;95;großflächiger Stammschaden;32341110.265543;5678549.05776169
6.710552745735367;51.237758665392484;41456;Krefelder Straße;Ross-Kastanie;234;Pilzbefall: Hallimasch;32340181.9978672;5678755.45574998
6.709350480593873;51.238328773504165;41448;Krefelder Straße;Bergahorn;90;Rußrindenkrankheit;32340100.0589124;5678821.46231453
6.709749115088656;51.23797618461423;23447;Krefelder Straße;Holländische Linde;60;Pilzbefall;32340126.6600061;5678781.39047104
6.735221443955288;51.23701601646717;42152;Prinzenallee;Feldahorn;89;großflächiger Stammschaden & Stammfäule;32341901.2893863;5678619.49342472
6.7355034221627506;51.2373120902916;42158;Prinzenallee;Feldahorn;110;Stammfäule;32341921.9864555;5678651.80684741
6.735489336518983;51.237295812216466;42159;Prinzenallee;Feldahorn;100;Stammfäule;32341920.9474791;5678650.02720966
6.719775634701636;51.24735566206182;365924;Büdericher Straße;Spitzahorn;180;Rußrindenkrankheit;32340858.8744879;5679802.51262458
6.720125848707881;51.24729873484762;365925;KGA Büdericher Straße;Buche;145;abgestorben;32340883.1172701;5679795.42406744
6.720219895059194;51.247112638289764;365926;Büdericher Straße;Stieleiche;125;abgestorben;32340889.0377864;5679774.52832071
6.720333795214781;51.247091299034;365927;Büdericher Straße;Stieleiche;90;abgestorben;32340896.9125677;5679771.90885389
6.720483210651903;51.24674370891139;365928;Büdericher Straße;Süßkirsche;90;abgestorben;32340906.1396674;5679732.93678654
6.720261197356628;51.24675781643415;365929;Büdericher Straße;Stieleiche;260;abgestorben;32340890.6952011;5679734.98636936
6.7200962105297934;51.24679911108119;365930;Büdericher Straße;Süßkirsche;90;absterbend;32340879.3241818;5679739.935362
6.7200803190457155;51.246895823196255;365931;Büdericher Straße;Süßkirsche;90;Pilzbefall;32340878.5490724;5679750.72316618
6.719655975362267;51.24708501391441;365932;Büdericher Straße;Spitzahorn;500;Rußrindenkrankheit;32340849.5896672;5679772.67869719
6.704929884021689;51.23407000367629;365933;Knechtstedenstraße;Spitzahorn;80;Rußrindenkrankheit;32339776.71462;5678357.56673914
6.704950997734357;51.234068259839;365934;Knechtstedenstraße;Silberweide;250;Sturmschaden: Sturmwurf;32339778.1823803;5678357.32678798
6.705050506400907;51.23406499667212;365935;Knechtstedenstraße;Silberpappel;222;Sturmschaden: Sturmbruch;32339785.1171354;5678356.74690601
6.7052649693560715;51.23402820072821;365936;Knechtstedenstraße;Spitzahorn;200;Rußrindenkrankheit;32339799.9596551;5678352.187834
6.705736783263499;51.23398530173748;365937;Knechtstedenstraße;Silberweide;123;abgestorben;32339832.745132;5678346.38901433
6.705219054045633;51.23403458348589;365938;Knechtstedenstraße;Stieleiche;60;abgestorben;32339796.7767592;5678352.99766916
6.705871140383086;51.23396302911555;365939;Knechtstedenstraße;Bergahorn;60;Pilzbefall;32339842.0464444;5678343.61957804
6.705541481074007;51.233964656678914;365940;Knechtstedenstraße;Spitzahorn;110;Rußrindenkrankheit;32339819.0405388;5678344.51939489
6.7056080047922855;51.23396668073205;365941;Knechtstedenstraße;Spitzahorn;120;Rußrindenkrankheit;32339823.691195;5678344.59937861
6.705666676150458;51.233962706038994;365942;Knechtstedenstraße;Silberpappel;70;Sturmschaden;32339827.7728879;5678344.0294946
6.706101052347136;51.23394334937861;365943;Knechtstedenstraße;Spitzahorn;160;Rußrindenkrankheit;32339858.0268906;5678340.93012547
6.706115167430019;51.233942187450374;365944;Knechtstedenstraße;Spitzahorn;80;Rußrindenkrankheit;32339859.0081461;5678340.77015803
6.706225422920219;51.23393185060265;365945;Knechtstedenstraße;Süßkirsche;80;abgestorben;32339866.6685355;5678339.38044091
6.707011441985627;51.23385122642594;41848;Aldekerkstraße;Bergahorn;110;Rußrindenkrankheit;32339921.2560247;5678328.70261435
6.707034497709158;51.23383180631567;41847;Aldekerkstraße;Bergahorn;110;Rußrindenkrankheit;32339922.7979976;5678326.49306409
6.706929660070628;51.23382822281945;41849;Aldekerkstraße;Spitzahorn;45;Rußrindenkrankheit;32339915.467442;5678326.32309869
6.707782639861702;51.23377165535926;365946;Knechtstedenstraße;Süßkirsche;100;abgestorben;32339974.8127834;5678318.17475726
6.7085328096388785;51.23355894752946;365947;Heerdter Landstraße Freizeitanlage;Feldahorn;180;absterbend;32340026.4400145;5678292.88990392
6.745702104977506;51.2351044628483;133087;GW Schorlemer Straße, GA;Silberahorn;210;Pilzbefall: Brandkrustenpilz;32342626.3134919;5678384.4412689
6.75545555087338;51.25127606069671;124663;Rotterdamer Straße 3;Ross-Kastanie;235;Stammfäule;32343362.09;5680161.71
6.750676118524746;51.26975542369172;358461;Lilienthalstraße Böschung;Waldkiefer;50;abgestorben;32343091.54;5682226.64
6.749658941837687;51.270661487515994;329297;Am Vogelsang;Waldkiefer;30;abgestorben;32343023.68;5682329.56
6.7427686632341945;51.26637626229315;358464;Clemens-Brentano-Straße Ecke Robert-Reinick-Straße;Bergahorn;70;Rußrindenkrankheit;32342528.44;5681867.84
6.7482009971964905;51.270221715997465;358465;Am Vogelsang gü 7;Sandbirke;50;abgestorben;32342920.49;5682283.78
6.768824110203722;51.26851278094021;296422;An der Golzheimer Heide Parkplatz Grünstreifen;Sandbirke;110, 100, 85;absterbend;32344353.17;5682049.84
6.768864485257119;51.26849822151942;122954;An der Golzheimer Heide Parkplatz;Sandbirke;110, 85;absterbend;32344355.9370539;5682048.13553453
6.75262010560942;51.26706924682049;334475;Danziger Straße;Sandbirke;100;abgestorben;32343217.99;5681923.81
6.7641000758202585;51.252758411781464;123527;Tersteegenstraße gü 15;Winterlinde;80;Pilzbefall: Wulstiger Lackporling;32343970.31;5680308.13
6.734220951997627;51.27049297345947;365985;KGA Stadionweg;Bergahorn;2x 70;großflächiger Stammschaden;32341946.319942;5682343.94532331
6.736738438993657;51.270676656248035;365987;Stadionweg Kleingärten;Abendländischer Lebensbaum;55;abgestorben;32342122.5418804;5682358.95226868
6.736761562029825;51.27067764296016;365988;Stadionweg Kleingärten;Abendländischer Lebensbaum;60;abgestorben;32342124.1580659;5682359.01225647
6.735508531640703;51.26986976940074;366075;Stadionweg Kleingärten;Fichte;100;absterbend;32342033.9897585;5682271.87999199
6.736941673794433;51.26960355235542;366076;Stadionweg Kleingärten;Salweide;80;abgestorben;32342133.0388402;5682239.1966446
6.737973709042689;51.26944510939164;365993;Stadionweg A44 Autobahnböschung, Fußgängerbrücke;Bergahorn;40, 60;Rußrindenkrankheit;32342204.4808352;5682219.36068215
6.733539219947853;51.270040343743545;336357;Stadionweg Kleingärten;Sandbirke;60;abgestorben;32341897.2159392;5682295.08526863
6.732705416377701;51.27028513316131;365996;Heiligenweg Kleingärten;Fichte;90;abgestorben;32341839.8990755;5682324.09936289
6.731582075258934;51.270122012347365;366000;Heiligenweg Kleingärten;Salweide;50;abgestorben;32341760.9863456;5682308.382562
6.7313161313883665;51.2700321542811;366001;Heiligenweg Kleingärten;Bergahorn;60;abgestorben;32341742.1280997;5682298.96447903
6.731572776292838;51.27101633415222;366002;Heiligenweg Kleingärten;Bergahorn;30;Rußrindenkrankheit;32341763.4106238;5682407.84231726
6.731582631648854;51.270993865914285;366003;Heiligenweg Kleingärten;Bergahorn;25;Rußrindenkrankheit;32341764.0208163;5682405.32283009
6.727505966551408;51.26796303777519;366014;Am Staad Gehölzbepflanzung;Bergahorn;100;Rußrindenkrankheit;32341469.2483744;5682077.1196349
6.727257121007545;51.26763252245193;366015;Am Staad Gehölzbepflanzung;Bergahorn;40;abgestorben;32341450.7529456;5682040.90700588
6.726675973707416;51.266155032837844;366020;Am Staad Gehölzbepflanzung;Bergahorn;40;abgestorben;32341405.1286892;5681877.88018952
6.725837075823989;51.26575676112893;366058;Am Staad Gehölzbepflanzung;Eberesche;50;abgestorben;32341345.239122;5681835.40883444
6.744482594912197;51.268549426328434;311139;Mörikestraße Kreuzung;Zitterpappel;60;abgestorben;32342655.42;5682105.8
6.737557546825502;51.26856746998175;367875;Stadionweg Fußgängerbrücke;Bergahorn;6x50;Rußrindenkrankheit;32342172.4457301;5682122.67036318
6.737579422604015;51.268839264604445;367878;Stadionweg Fußgängerbrücke;Bergahorn;70;Rußrindenkrankheit;32342174.9029917;5682152.84422138
6.740124549081241;51.26855448869682;367879;Stockumer Höfe Gehölzbepflanzung;Bergahorn;70;Rußrindenkrankheit;32342351.4547639;5682115.71177958
6.7415894652812245;51.268767100803245;367880;Stockumer Höfe;Bergahorn;70;Rußrindenkrankheit;32342454.3629007;5682136.20760772
6.7421340418979065;51.26864273291826;367881;Stockumer Höfe Ampelanlage, Laterne;Bergahorn;100;Rußrindenkrankheit;32342491.9227215;5682121.2106603
6.7420423756784364;51.26857379573134;367882;Stockumer Höfe Peter-Royen-Weg;Bergahorn;70;Rußrindenkrankheit;32342485.2930627;5682113.74218049
6.742018227988821;51.268306813829625;367885;Stockumer Höfe hinterm Lärmschutzwall;Buche;100;absterbend;32342482.6956218;5682084.1082124
6.74394555464629;51.26896195272067;336351;Mörikestraße;Waldkiefer;80;abgestorben;32342619.37;5682152.82
6.744010854838753;51.26900152433186;336352;Mörikestraße;Waldkiefer;80;absterbend;32342624.06;5682157.08
6.732196672838247;51.267995769315576;367893;Stockumer Höfe 180;Bergahorn;90;Rußrindenkrankheit;32341796.550672;5682070.64095362
6.732277932573554;51.268059657108296;367894;Stockumer Höfe 180;Bergahorn;90;Rußrindenkrankheit;32341802.4382049;5682077.56954333
6.732121097058108;51.26811893073643;367895;Stockumer Höfe 180;Bergahorn;90;Rußrindenkrankheit;32341791.7021156;5682084.49813303
6.732021100234543;51.26899719806144;367897;Stockumer Höfe A44 Kleingärten;Bergahorn;80;Rußrindenkrankheit;32341787.7441103;5682182.36821186
6.73203831261658;51.26899816107757;367898;Stockumer Höfe A 44 Kleingärten;Bergahorn;80;Rußrindenkrankheit;32341788.9480036;5682182.43819761
6.732472503070712;51.26901304932579;367899;Stockumer Höfe Böschung A 44 Kleingärten;Waldkiefer;100;Sturmschaden: Sturmwurf;32341819.2844648;5682183.15805109
6.732896603747139;51.26887029445;367900;Stockumer Höfe A 44 Kleingärten;Bergahorn;20-30;Rußrindenkrankheit;32341848.3758034;5682166.37146795
6.737660197555009;51.269548478649604;367939;Stadionweg Grünstreifen;Bergahorn;50;Rußrindenkrankheit;32342182.9674274;5682231.52820548
6.737543390784228;51.26954379262738;367940;Stadionweg Fußgängerbrücke A44;Bergahorn;50;Rußrindenkrankheit;32342174.8040416;5682231.25826043
