reason,year,reason
Pilzbefall,2019,185
Abgestorben,2019,170
Absterbend,2019,77
Morschung,2019,74
Stammschaden,2019,43
Sturmschaden,2019,19
Schrägstand,2019,11
Trocken,2019,9
Pseudomonas,2019,5
Komplexerkrankung,2019,4
