reason,year,reason
Rußrindenkrankheit,2020,330
Abgestorben,2020,120
Absterbend,2020,104
Pilzbefall,2020,93
Fäule,2020,36
Stammschaden,2020,18
Sturmschaden,2020,17
Pseudomonas,2020,9
Schrägstand,2020,9
Baummaßnahma,2020,2
