Datum;Tmin;Tmit;Tmax;Sges;Rges;Tbod;RFmin;RFmit;RFmax;Wmit;WBmax
01.01.2020;-0,7;0,9;4,0;3,9;0,0;-3,8;84;94,0;100;9;33
02.01.2020;-1,2;2,0;5,3;0,5;0,0;-4,1;86;93,0;100;9;26
03.01.2020;4,5;7,4;9,7;0,0;2,7;2,9;88;92,9;100;12;50
04.01.2020;2,4;5,2;7,3;0,0;0,7;0,0;87;94,6;99;10;37
05.01.2020;5,7;6,4;7,3;0,0;0,0;5,2;74;89,2;100;6;24
06.01.2020;2,6;5,3;7,5;4,9;1,8;0,5;68;79,4;87;9;28
07.01.2020;3,5;6,5;9,2;1,0;0,0;3,0;81;90,5;100;8;33
08.01.2020;6,3;8,7;11,3;0,0;5,4;6,1;81;95,5;100;8;30
09.01.2020;9,4;10,7;12,5;0,0;7,1;9,0;89;97,3;100;10;31
10.01.2020;1,1;7,5;10,7;0,0;4,1;-1,2;84;93,3;100;10;41
11.01.2020;0,0;4,0;7,6;1,1;0,0;-2,1;74;89,1;100;9;30
12.01.2020;2,0;5,5;8,3;0,5;1,0;0,8;80;89,2;99;11;33
13.01.2020;3,8;6,9;9,4;1,3;0,4;1,9;76;88,7;96;11;41
14.01.2020;8,0;9,7;12,0;0,0;2,0;7,5;73;83,0;99;18;56
15.01.2020;6,5;11,1;13,2;2,3;0,8;3,5;63;75,3;89;16;46
16.01.2020;1,6;7,3;12,3;7,7;0,0;-1,0;67;87,1;100;9;33
17.01.2020;4,8;8,1;9,7;0,0;1,1;2,9;78;84,8;97;11;37
18.01.2020;2,4;4,7;6,8;1,3;0,3;0,6;76;86,2;93;8;31
19.01.2020;-0,2;2,8;6,2;1,4;0,0;-2,3;85;94,6;100;6;26
20.01.2020;-1,2;1,3;3,3;0,0;0,0;-3,3;100;100,0;100;4;9
21.01.2020;-3,7;-0,6;5,4;7,8;0,0;-6,1;75;95,6;100;4;15
22.01.2020;-3,1;-0,8;1,8;0,0;0,0;-4,7;100;100,0;100;5;19
23.01.2020;-0,2;2,5;4,1;0,0;0,0;-2,1;86;94,3;100;6;24
24.01.2020;0,1;0,6;1,2;0,0;0,0;-0,5;90;92,0;96;7;24
25.01.2020;0,7;1,8;3,4;0,0;0,0;0,7;91;97,1;100;7;22
26.01.2020;0,6;4,6;9,7;4,6;2,2;-0,5;76;90,8;100;10;28
27.01.2020;5,7;7,1;8,9;0,0;3,9;4,8;86;92,9;100;13;35
28.01.2020;3,4;5,3;8,0;2,0;2,4;1,8;70;84,2;97;15;61
29.01.2020;3,2;4,6;6,9;0,8;0,2;2,3;73;83,5;91;11;41
30.01.2020;5,8;8,1;12,6;3,0;2,0;4,7;74;85,2;100;12;44
31.01.2020;10,1;11,8;13,5;0,5;1,6;9,0;76;84,6;98;12;41
01.02.2020;7,9;10,8;12,5;0,4;18,2;7,0;72;87,4;100;12;48
02.02.2020;6,1;9,4;13,1;0,0;4,4;5,7;80;88,0;100;13;44
03.02.2020;5,2;9,7;11,7;1,4;10,6;4,8;73;84,7;100;11;48
04.02.2020;2,4;4,7;6,6;1,6;2,0;0,1;80;91,6;100;11;41
05.02.2020;1,7;4,2;7,7;7,2;0,0;0,0;68;88,7;100;6;22
06.02.2020;;3,4;;;0,0;-2,5;79;90,3;100;4;-
07.02.2020;-1,3;3,6;8,9;8,9;0,0;-3,4;56;79,3;100;12;44
08.02.2020;2,8;6,1;9,4;1,4;0,0;1,9;72;77,5;83;13;35
09.02.2020;5,9;10,4;14,1;2,9;1,9;3,8;54;75,8;92;22;87
10.02.2020;3,1;8,4;11,7;1,6;3,4;2,1;53;74,7;93;23;74
11.02.2020;3,4;5,3;7,8;4,8;0,5;1,3;53;69,2;95;20;67
12.02.2020;2,4;4,9;8,2;5,0;0,0;-0,8;56;75,0;89;14;54
13.02.2020;1,6;4,6;7,2;0,2;8,7;-0,8;84;91,8;100;12;46
14.02.2020;5,5;6,7;7,9;0,0;0,0;4,2;75;87,8;100;9;30
15.02.2020;5,1;8,9;13,3;6,5;2,1;3,6;62;78,3;93;14;44
16.02.2020;7,7;13,7;18,2;0,0;6,6;6,9;56;72,9;100;22;76
17.02.2020;7,5;8,7;11,8;4,1;0,0;6,0;59;75,6;91;14;52
18.02.2020;5,8;7,3;9,0;3,0;5,0;4,9;69;76,9;82;15;48
19.02.2020;2,9;5,6;8,0;2,8;0,5;0,3;64;81,9;97;12;48
20.02.2020;4,5;7,6;10,5;0,7;4,8;3,0;69;85,6;97;16;65
21.02.2020;3,0;6,2;9,1;3,9;0,0;1,8;71;79,0;90;14;35
22.02.2020;3,8;8,3;10,5;0,5;8,2;2,5;44;77,4;100;15;52
23.02.2020;5,3;9,5;12,6;0,0;8,9;3,3;77;92,4;100;18;87
24.02.2020;1,5;7,0;11,8;0,0;2,7;-0,4;77;91,4;100;12;50
25.02.2020;3,4;7,5;11,0;5,2;9,7;2,0;53;82,9;100;12;50
26.02.2020;0,4;2,9;4,6;0,2;8,0;-0,1;83;96,0;100;12;44
27.02.2020;0,4;2,2;4,9;0,0;12,4;-0,1;83;97,0;100;10;35
28.02.2020;0,4;3,9;7,4;5,9;4,9;-0,9;64;85,9;100;13;57
29.02.2020;4,9;8,5;13,8;3,0;1,8;3,6;61;81,3;99;18;78
01.03.2020;4,6;6,9;10,0;2,0;8,7;3,4;54;77,9;100;13;57
02.03.2020;2,7;6,1;9,9;1,3;6,3;1,0;72;91,5;100;10;43
03.03.2020;0,7;4,7;8,8;7,5;0,4;-1,4;66;86,5;100;8;30
04.03.2020;0,5;5,9;10,5;7,1;0,5;-1,4;61;85,3;100;8;31
05.03.2020;4,5;5,8;7,6;0,0;13,6;3,7;87;93,8;100;11;33
06.03.2020;3,9;5,4;7,3;0,2;0,7;2,5;79;92,0;100;13;37
07.03.2020;1,4;6,5;9,9;5,5;0,0;0,2;58;76,1;100;9;31
08.03.2020;7,1;8,6;12,1;2,5;4,6;6,0;62;84,5;100;12;44
09.03.2020;6,3;7,8;10,7;2,9;5,9;5,2;61;81,8;93;10;37
10.03.2020;5,4;9,9;12,9;0,0;5,7;5,1;77;95,4;100;15;50
11.03.2020;9,6;12,2;14,8;0,9;7,9;9,5;80;95,3;100;12;48
12.03.2020;-;10,2;-;-;-;4,9;41;67,7;85;18;-
